Name,Z,POINT_X,POINT_Y,NEAR_DIST,Long,Lat,Distance
KapoyaArroket,1709.018578,731342.2733,9930772.347,4691.883691,35.07867872,-0.625909155,769.4598582
KapoyaArroket,1709.4508,731338.94,9930770.18,4687.908071,35.07864879,-0.625928756,773.4354784
KapoyaArroket,1709,731336.44,9930767.93,4684.544665,35.07862634,-0.625949108,776.7988844
KapoyaArroket,1709,731333.94,9930765.68,4681.181259,35.0786039,-0.62596946,780.1622904
KapoyaArroket,1709,731331.44,9930763.43,4677.817853,35.07858145,-0.625989812,783.5256964
KapoyaArroket,1709,731328.94,9930761.18,4674.454447,35.07855901,-0.626010164,786.8891024
KapoyaArroket,1709,731326.44,9930758.93,4671.091041,35.07853656,-0.626030516,790.2525084
KapoyaArroket,1709,731323.94,9930756.68,4667.727635,35.07851411,-0.626050867,793.6159145
KapoyaArroket,1710,731321.44,9930754.805,4664.602635,35.07849167,-0.626067829,796.7409145
KapoyaArroket,1710,731318.94,9930752.93,4661.477635,35.07846922,-0.62608479,799.8659145
KapoyaArroket,1710,731316.44,9930751.555,4658.624457,35.07844677,-0.626097231,802.7190925
KapoyaArroket,1710,731313.94,9930750.18,4655.771279,35.07842432,-0.626109672,805.5722706
KapoyaArroket,1710,731310.6067,9930748.93,4652.211277,35.07839439,-0.626120985,809.1322721
KapoyaArroket,1710.545867,731307.2733,9930747.68,4648.651276,35.07836446,-0.626132299,812.6922737
KapoyaArroket,1711,731303.94,9930746.43,4645.091274,35.07833452,-0.626143613,816.2522752
KapoyaArroket,1711,731300.19,9930745.68,4641.267009,35.07830085,-0.626150407,820.0765399
KapoyaArroket,1711,731296.44,9930744.93,4637.442745,35.07826717,-0.626157201,823.9008045
KapoyaArroket,1711,731292.69,9930744.18,4633.61848,35.07823349,-0.626163996,827.7250692
KapoyaArroket,1711,731288.94,9930743.43,4629.794216,35.07819982,-0.62617079,831.5493338
KapoyaArroket,1711,731283.94,9930743.43,4624.794216,35.07815491,-0.626170808,836.5493338
KapoyaArroket,1710.851425,731280.19,9930744.492,4620.8966,35.07812122,-0.626161215,840.4469492
KapoyaArroket,1710.3808,731276.44,9930745.555,4616.998985,35.07808754,-0.626151622,844.3445647
KapoyaArroket,1710.121075,731272.69,9930746.618,4613.101369,35.07805386,-0.626142029,848.2421802
KapoyaArroket,1710.48,731268.94,9930747.68,4609.203754,35.07802017,-0.626132436,852.1397956
KapoyaArroket,1710.98,731265.6067,9930749.18,4605.548468,35.07799023,-0.626118886,855.795081
KapoyaArroket,1710,731262.2733,9930750.68,4601.893183,35.07796029,-0.626105336,859.4503664
KapoyaArroket,1710,731258.94,9930752.18,4598.237898,35.07793034,-0.626091786,863.1056517
KapoyaArroket,1710.0142,731256.44,9930753.555,4595.38472,35.07790789,-0.626079364,865.9588298
KapoyaArroket,1710,731253.94,9930754.93,4592.531542,35.07788543,-0.626066941,868.8120078
KapoyaArroket,1710,731251.44,9930756.305,4589.678363,35.07786297,-0.626054518,871.6651859
KapoyaArroket,1711,731248.94,9930757.68,4586.825185,35.07784051,-0.626042095,874.5183639
KapoyaArroket,1711,731246.44,9930759.305,4583.84347,35.07781805,-0.626027412,877.500079
KapoyaArroket,1711,731243.94,9930760.93,4580.861755,35.07779559,-0.626012729,880.4817941
KapoyaArroket,1711.96,731241.44,9930762.555,4577.88004,35.07777313,-0.625998045,883.4635093
KapoyaArroket,1712,731238.94,9930764.18,4574.898325,35.07775067,-0.625983362,886.4452244
KapoyaArroket,1712.124689,731235.6067,9930765.597,4571.276439,35.07772073,-0.625970566,890.06711
KapoyaArroket,1713,731232.2733,9930767.013,4567.654554,35.07769079,-0.625957769,893.6889956
KapoyaArroket,1712.8758,731228.94,9930768.43,4564.032668,35.07766085,-0.625944973,897.3108813
KapoyaArroket,1713,731225.6067,9930769.013,4560.648678,35.07763091,-0.62593971,900.6948714
KapoyaArroket,1712,731222.2733,9930769.597,4557.264688,35.07760097,-0.625934448,904.0788614
KapoyaArroket,1711.9908,731218.94,9930770.18,4553.880698,35.07757103,-0.625929186,907.4628515
KapoyaArroket,1711.835,731216.565,9930771.43,4551.196834,35.07754969,-0.625917893,910.1467153
KapoyaArroket,1713,731214.19,9930772.68,4548.51297,35.07752836,-0.6259066,912.8305792
KapoyaArroket,1713.335,731212.065,9930774.555,4545.679024,35.07750926,-0.625889655,915.6645252
KapoyaArroket,1714,731209.94,9930776.43,4542.845078,35.07749017,-0.62587271,918.4984712
KapoyaArroket,1713.9558,731208.315,9930778.68,4540.069628,35.07747557,-0.625852373,921.2739216
KapoyaArroket,1714,731206.69,9930780.93,4537.294177,35.07746097,-0.625832036,924.049372
KapoyaArroket,1713.54,731205.94,9930783.43,4534.684101,35.07745422,-0.625809435,926.6594486
KapoyaArroket,1713.5767,731205.19,9930785.93,4532.074024,35.07744748,-0.625786835,929.2695253
KapoyaArroket,1713.665,731205.065,9930788.43,4529.570901,35.07744635,-0.625764232,931.7726483
KapoyaArroket,1713.54,731204.94,9930790.93,4527.067778,35.07744521,-0.625741629,934.2757714
KapoyaArroket,1714,731205.94,9930794.263,4523.587676,35.07745418,-0.625711488,937.7558735
KapoyaArroket,1714.3258,731206.94,9930797.597,4520.107574,35.07746315,-0.625681346,941.2359757
KapoyaArroket,1714,731207.94,9930800.93,4516.627471,35.07747212,-0.625651205,944.7160779
KapoyaArroket,1713.569133,731208.94,9930804.263,4513.147369,35.07748109,-0.625621064,948.19618
KapoyaArroket,1714,731209.94,9930807.597,4509.667267,35.07749006,-0.625590922,951.6762822
KapoyaArroket,1714,731210.94,9930810.93,4506.187165,35.07749903,-0.625560781,955.1563844
KapoyaArroket,1714,731210.69,9930813.43,4503.674696,35.07749678,-0.625538179,957.6688533
KapoyaArroket,1714.96,731210.44,9930815.93,4501.162227,35.07749452,-0.625515576,960.1813222
KapoyaArroket,1715,731209.065,9930818.305,4498.417915,35.07748217,-0.625494108,962.9256345
KapoyaArroket,1715.48,731207.69,9930820.68,4495.673603,35.07746981,-0.62547264,965.6699468
KapoyaArroket,1716,731205.69,9930822.805,4492.755448,35.07745184,-0.625453434,968.5881012
KapoyaArroket,1716,731203.69,9930824.93,4489.837294,35.07743387,-0.625434229,971.5062556
KapoyaArroket,1716,731201.315,9930826.555,4486.959578,35.07741253,-0.625419545,974.3839717
